"word","word_count"
"103.1b",1
"In",212
"Archenemy",22
"game,",186
"methods",6
"aren’t",47
"determine",65
"takes",35
"turn.",98
"Rather,",14
"archenemy",5
"takes",35
"turn.",98
"103.1c",1
"One",48
"card",1217
"(Power",1
"Play)",1
"controller",267
"starting",77
"player.",64
"This",265
"effect",723
"applies",50
"determination",4
"happened",2
"supersedes",1
"methods.",1
"103.2.",1
"Some",233
"games",34
"require",24
"additional",149
"steps",39
"starting",77
"player",1827
"determined.",10
"Perform",1
"actions",137
"listed",49
"103.2a–e",1
"order,",15
"applicable.",2
"103.2a",1
"If",1165
"players",220
"sideboards",1
"(see",274
"rule",1655
"100.4)",1
"cards",605
"represented",55
"substitute",20
"cards",605
"(see",274
"rule",1655
"713),",1
"cards",605
"set",89
"aside.",1
"After",33
"happens,",4
"player’s",301
"deck",137
"considered",53
"starting",77
"deck.",20
"103.2b",1
"If",1165
"players",220
"reveal",38
"card",1217
"companion",9
"ability",1447
"game,",186
"so.",26
"A",990
"player",1827
"reveal",38
"card",1217
"way,",21
"deck",137
"fulfills",4
"condition",37
"card’s",93
"companion",9
"ability.",237
"The",750
"revealed",32
"card",1217
"remains",84
"game.",181
"(See",177
"rule",1655
"702.139,",3
"“Companion.”)",2
"103.2c",2
"In",212
"Commander",57
"game,",186
"player",1827
"commander",51
"deck",137
"command",124
"zone.",101
"See",1025
"rule",1655
"903.6.",2
"103.2d",1
"In",212
"constructed",11
"game,",186
"player",1827
"playing",27
"sticker",62
"sheets",14
"reveals",13
"sticker",62
"sheets",14
"chooses",110
"random.",3
"In",212
"limited",34
"game,",186
"player",1827
"chooses",110
"sticker",62
"sheets",14
"sealed",4
"product",4
"reveals",13
"them.",30
"In",212
"case,",24
"player",1827
"access",5
"stickers",20
"chosen",113
"sheets",14
"game,",186
"sticker",62
"sheets",14
"remain",32
"revealed.",8
"(See",177
"rule",1655
"123,",3
"“Stickers.”)",1
"103.2e",1
"In",212
"Conspiracy",21
"Draft",19
"game,",186
"player",1827
"conspiracy",28
"cards",605
"sideboard",8
"command",124
"zone.",101
"See",1025
"rule",1655
"905.4.",2
"103.3.",1
"After",33
"starting",77
"player",1827
"determined",41
"additional",149
"steps",39
"performed,",8
"player",1827
"shuffles",15
"deck",137
"cards",605
"random",14
"order.",47
"Each",149
"player",1827
"shuffle",19
"cut",2
"opponents’",2
"decks.",8
"The",750
"players’",11
"decks",12
"libraries.",2
"103.3a",1
"In",212
"game",484
"supplementary",14
"decks",12
"nontraditional",23
"cards",605
"(see",274
"rule",1655
"100.2d),",1
"supplementary",14
"deck’s",4
"owner",60
"shuffles",15
"cards",605
"random",14
"order.",47
"Each",149
"player",1827
"shuffle",19
"cut",2
"opponents’",2
"supplementary",14
"decks.",8
"103.4.",4
"Each",149
"player",1827
"begins",18
"game",484
"starting",77
"life",161
"total",127
"20.",5
"Some",233
"variant",89
"games",34
"starting",77
"life",161
"totals.",4
"103.4a",1
"In",212
"Two-Headed",38
"Giant",59
"game,",186
"team’s",24
"starting",77
"life",161
"total",127
"30.",5
"103.4b",1
"In",212
"Vanguard",21
"game,",186
"player’s",301
"starting",77
"life",161
"total",127
"20",4
"minus",13
"life",161
"modifier",18
"vanguard",39
"card.",105
"103.4c",1
"In",212
"Commander",57
"game,",186
"player’s",301
"starting",77
"life",161
"total",127
"40.",5
"103.4d",1
"In",212
"two-player",18
"Brawl",14
"game,",186
"player’s",301
"starting",77
"life",161
"total",127
"25.",3
"In",212
"multiplayer",93
"Brawl",14
"game,",186
"player’s",301
"starting",77
"life",161
"total",127
"30.",5
"103.4e",1
"In",212
"Archenemy",22
"game,",186
"archenemy’s",6
"starting",77
"life",161
"total",127
"40.",5
"103.5.",11
"Each",149
"player",1827
"draws",24
"cards",605
"equal",84
"starting",77
"hand",101
"size,",5
"seven.",3
"(Some",2
"effects",372
"modify",41
"player’s",301
"starting",77
"hand",101
"size.)",1
"A",990
"player",1827
"dissatisfied",1
"initial",5
"hand",101
"mulligan.",8
"First,",17
"starting",77
"player",1827
"declares",15
"mulligan.",8
"Then",56
"player",1827
"same.",15
"Once",53
"player",1827
"declaration,",1
"players",220
"decided",6
"mulligans",13
"time.",76
"To",157
"mulligan,",6
"player",1827
"shuffles",15
"cards",605
"hand",101
"library,",35
"draws",24
"hand",101
"cards",605
"equal",84
"starting",77
"hand",101
"size,",5
"cards",605
"equal",84
"times",35
"player",1827
"mulligan",18
"bottom",35
"library",109
"order.",47
"Once",53
"player",1827
"chooses",110
"mulligan,",6
"remaining",35
"cards",605
"player’s",301
"hand,",29
"player",1827
"mulligans.",4
"This",265
"process",45
"repeated",5
"player",1827
"takes",35
"mulligan.",8
"A",990
"player",1827
"mulligans",13
"hand",101
"cards,",69
"mulligans.",4
"103.5a",1
"In",212
"Vanguard",21
"game,",186
"player’s",301
"starting",77
"hand",101
"size",20
"minus",13
"hand",101
"modifier",18
"vanguard",39
"card.",105
"103.5b",1
"If",1165
"effect",723
"player",1827
"perform",21
"action",177
"“any",8
"time",198
"[that",5
"player]",18
"mulligan,”",1
"player",1827
"perform",21
"action",177
"time",198
"declare",44
"mulligan.",8
"This",265
"round",4
"mulligans.",4
"Other",22
"players",220
"mulligan",18
